pdf_file,pdf_path,text_file,text_path,pages,characters,words,extraction_status,extraction_error
2024_10_1769_1801_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1769_1801_EN.pdf,2024_10_1769_1801.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1769_1801.txt,,,,Already Exists,
2024_10_1802_1854_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1802_1854_EN.pdf,2024_10_1802_1854.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1802_1854.txt,,,,Already Exists,
2024_10_1855_1875_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1855_1875_EN.pdf,2024_10_1855_1875.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1855_1875.txt,,,,Already Exists,
2024_10_1876_1889_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1876_1889_EN.pdf,2024_10_1876_1889.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1876_1889.txt,,,,Already Exists,
2024_10_1890_1901_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1890_1901_EN.pdf,2024_10_1890_1901.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1890_1901.txt,,,,Already Exists,
2024_10_18_36_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_18_36_EN.pdf,2024_10_18_36.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_18_36.txt,,,,Already Exists,
2024_10_1902_1917_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1902_1917_EN.pdf,2024_10_1902_1917.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1902_1917.txt,,,,Already Exists,
2024_10_1918_1930_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1918_1930_EN.pdf,2024_10_1918_1930.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1918_1930.txt,,,,Already Exists,
2024_10_1931_2182_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1931_2182_EN.pdf,2024_10_1931_2182.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1931_2182.txt,,,,Already Exists,
2024_10_1_17_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_1_17_EN.pdf,2024_10_1_17.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_1_17.txt,,,,Already Exists,
2024_10_2183_2186_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2183_2186_EN.pdf,2024_10_2183_2186.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2183_2186.txt,,,,Already Exists,
2024_10_2187_2226_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2187_2226_EN.pdf,2024_10_2187_2226.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2187_2226.txt,,,,Already Exists,
2024_10_2227_2239_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2227_2239_EN.pdf,2024_10_2227_2239.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2227_2239.txt,,,,Already Exists,
2024_10_2240_2247_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2240_2247_EN.pdf,2024_10_2240_2247.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2240_2247.txt,,,,Already Exists,
2024_10_2248_2264_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2248_2264_EN.pdf,2024_10_2248_2264.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2248_2264.txt,,,,Already Exists,
2024_10_2265_2277_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2265_2277_EN.pdf,2024_10_2265_2277.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2265_2277.txt,,,,Already Exists,
2024_10_2278_2302_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2278_2302_EN.pdf,2024_10_2278_2302.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2278_2302.txt,,,,Already Exists,
2024_10_2303_2313_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2303_2313_EN.pdf,2024_10_2303_2313.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2303_2313.txt,,,,Already Exists,
2024_10_2314_2322_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_2314_2322_EN.pdf,2024_10_2314_2322.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_2314_2322.txt,,,,Already Exists,
2024_10_315_383_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_315_383_EN.pdf,2024_10_315_383.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_315_383.txt,,,,Already Exists,
2024_10_37_44_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_37_44_EN.pdf,2024_10_37_44.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_37_44.txt,,,,Already Exists,
2024_10_384_392_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_384_392_EN.pdf,2024_10_384_392.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_384_392.txt,,,,Already Exists,
2024_10_393_410_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_393_410_EN.pdf,2024_10_393_410.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_393_410.txt,,,,Already Exists,
2024_10_411_416_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_411_416_EN.pdf,2024_10_411_416.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_411_416.txt,,,,Already Exists,
2024_10_417_424_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_417_424_EN.pdf,2024_10_417_424.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_417_424.txt,,,,Already Exists,
2024_10_425_444_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_425_444_EN.pdf,2024_10_425_444.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_425_444.txt,,,,Already Exists,
2024_10_445_492_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_445_492_EN.pdf,2024_10_445_492.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_445_492.txt,,,,Already Exists,
2024_10_45_53_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_45_53_EN.pdf,2024_10_45_53.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_45_53.txt,,,,Already Exists,
2024_10_493_638_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_493_638_EN.pdf,2024_10_493_638.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_493_638.txt,,,,Already Exists,
2024_10_54_61_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_54_61_EN.pdf,2024_10_54_61.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_54_61.txt,,,,Already Exists,
2024_10_62_78_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_62_78_EN.pdf,2024_10_62_78.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_62_78.txt,,,,Already Exists,
2024_10_639_649_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_639_649_EN.pdf,2024_10_639_649.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_639_649.txt,,,,Already Exists,
2024_10_650_672_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_650_672_EN.pdf,2024_10_650_672.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_650_672.txt,,,,Already Exists,
2024_10_673_700_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_673_700_EN.pdf,2024_10_673_700.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_673_700.txt,,,,Already Exists,
2024_10_701_707_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_701_707_EN.pdf,2024_10_701_707.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_701_707.txt,,,,Already Exists,
2024_10_708_735_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_708_735_EN.pdf,2024_10_708_735.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_708_735.txt,,,,Already Exists,
2024_10_736_752_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_736_752_EN.pdf,2024_10_736_752.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_736_752.txt,,,,Already Exists,
2024_10_753_768_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_753_768_EN.pdf,2024_10_753_768.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_753_768.txt,,,,Already Exists,
2024_10_769_785_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_769_785_EN.pdf,2024_10_769_785.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_769_785.txt,,,,Already Exists,
2024_10_786_792_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_786_792_EN.pdf,2024_10_786_792.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_786_792.txt,,,,Already Exists,
2024_10_793_859_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_793_859_EN.pdf,2024_10_793_859.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_793_859.txt,,,,Already Exists,
2024_10_79_97_EN.pdf,/content/drive/MyDrive/NyayaRAG/data/raw/pdf/year=2024/english/2024_10_79_97_EN.pdf,2024_10_79_97.txt,/content/drive/MyDrive/NyayaRAG/data/processed/text/year=2024/english/2024_10_79_97.txt,,,,Already Exists,
